00 data
00 Data was recorded 60 times per second
00 Date and Time: 5/7/2019 3:45:09 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):214038.7  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):216822.8 force plate (fx, fy, fz, mx, my, mz):0.05873108,-0.2036552,0.01611328,-0.08843994,-0.009399414,-0.01505995
01 timestamp(ms):216833.3 force plate (fx, fy, fz, mx, my, mz):0.390976,0.0498085,0.01611328,-0.1002808,0.006317139,0.1211076
01 timestamp(ms):216852.8 force plate (fx, fy, fz, mx, my, mz):0.05486298,0.03673553,0.01660156,0.1085815,-0.009552002,0.02518797
01 timestamp(ms):216873 force plate (fx, fy, fz, mx, my, mz):0.05337524,0.03932953,-0.3579102,0.004211426,-0.01000977,0.02580595
01 timestamp(ms):216883.3 force plate (fx, fy, fz, mx, my, mz):0.05512238,0.04110336,-0.1708984,-0.04797363,0.02346802,0.02613211
01 timestamp(ms):216903.7 force plate (fx, fy, fz, mx, my, mz):0.3849411,-0.2083702,0.206543,0.06811523,0.03955078,-0.1084485
01 timestamp(ms):216926.5 force plate (fx, fy, fz, mx, my, mz):0.06112671,0.2828178,0.2045898,0.04541016,0.02404785,-0.01748514
01 timestamp(ms):216937.6 force plate (fx, fy, fz, mx, my, mz):0.06400299,0.0364418,0.2055664,0.05664063,0.02420044,-0.05916262
01 timestamp(ms):216948 force plate (fx, fy, fz, mx, my, mz):-0.2726059,0.03194809,-0.1689453,-0.04711914,0.007904053,-0.1530366
01 timestamp(ms):216967.5 force plate (fx, fy, fz, mx, my, mz):0.3902435,0.04819107,-0.1708984,-0.04846191,0.03933716,0.1206222
01 timestamp(ms):216987 force plate (fx, fy, fz, mx, my, mz):0.05512238,0.04110336,-0.1708984,-0.04797363,0.02346802,0.02613211
01 timestamp(ms):217006.5 force plate (fx, fy, fz, mx, my, mz):0.06058502,-0.2051353,0.2036133,-0.03668213,-0.04241943,-0.01532888
01 timestamp(ms):217016.7 force plate (fx, fy, fz, mx, my, mz):0.06047821,0.2837753,0.01660156,-0.006713867,-0.07592773,-0.01697683
